delivery_id,order_id,order_date,estimated_delivery_date,delivered_date,delivery_partner,delivery_status
DLV00163,ORD00163,2025-01-16,2025-01-18,2025-01-18,Delhivery,Delivered
DLV00164,ORD00164,2025-07-23,2025-07-27,,XpressBees,Delayed
DLV00165,ORD00165,2025-09-03,2025-09-08,2025-09-08,DTDC,Delivered
DLV00166,ORD00166,2025-02-13,2025-02-18,,DTDC,In Transit
DLV00167,ORD00167,2025-05-30,2025-06-05,2025-06-05,XpressBees,Delivered
DLV00168,ORD00168,2025-09-10,2025-09-14,,Blue Dart,Out for Delivery
DLV00169,ORD00169,2025-10-27,2025-10-31,,XpressBees,In Transit
DLV00170,ORD00170,2025-11-18,2025-11-24,,DTDC,Out for Delivery
DLV00171,ORD00171,2025-05-21,2025-05-28,,XpressBees,Failed
DLV00172,ORD00172,2025-02-17,2025-02-24,,DTDC,In Transit
DLV00173,ORD00173,2025-09-27,2025-10-02,2025-10-02,XpressBees,Delivered
DLV00174,ORD00174,2025-06-24,2025-06-27,,Delhivery,In Transit
DLV00175,ORD00175,2025-09-07,2025-09-14,,XpressBees,Out for Delivery
DLV00176,ORD00176,2025-07-07,2025-07-14,,Blue Dart,Delayed
DLV00177,ORD00177,2025-12-06,2025-12-10,,Delhivery,In Transit
DLV00178,ORD00178,2025-07-18,2025-07-24,,Blue Dart,Failed
DLV00179,ORD00179,2025-02-27,2025-03-05,2025-03-05,Blue Dart,Delivered
DLV00180,ORD00180,2025-04-27,2025-05-01,,DTDC,Out for Delivery
DLV00181,ORD00181,2025-09-19,2025-09-22,,Blue Dart,In Transit
DLV00182,ORD00182,2025-03-17,2025-03-22,,Ecom Express,Failed
DLV00183,ORD00183,2025-12-30,2026-01-05,,Ecom Express,Delayed
DLV00184,ORD00184,2025-10-01,2025-10-05,,XpressBees,Out for Delivery
DLV00185,ORD00185,2025-03-06,2025-03-12,,Delhivery,In Transit
DLV00186,ORD00186,2025-09-09,2025-09-16,2025-09-16,Ecom Express,Delivered
DLV00187,ORD00187,2025-03-02,2025-03-06,,Blue Dart,In Transit
DLV00188,ORD00188,2025-02-24,2025-02-28,,DTDC,Delayed
DLV00189,ORD00189,2025-09-30,2025-10-05,,Ecom Express,Failed
DLV00190,ORD00190,2025-06-12,2025-06-16,,Delhivery,Failed
DLV00191,ORD00191,2025-06-25,2025-06-29,,XpressBees,Delayed
DLV00192,ORD00192,2025-12-26,2025-12-30,,XpressBees,In Transit
DLV00193,ORD00193,2025-08-19,2025-08-25,,Blue Dart,Delayed
DLV00194,ORD00194,2025-05-17,2025-05-23,,Ecom Express,Out for Delivery
DLV00195,ORD00195,2025-11-23,2025-11-25,,Delhivery,Failed
DLV00196,ORD00196,2025-04-18,2025-04-21,2025-04-24,Delhivery,Delivered
DLV00197,ORD00197,2025-06-21,2025-06-28,,Blue Dart,Failed
DLV00198,ORD00198,2025-04-17,2025-04-20,2025-04-20,Ecom Express,Delivered
DLV00199,ORD00199,2025-04-20,2025-04-23,,Ecom Express,Delayed
DLV00200,ORD00200,2025-09-28,2025-10-01,,DTDC,Failed
DLV00201,ORD00201,2025-05-06,2025-05-09,2025-05-10,Blue Dart,Delivered
DLV00202,ORD00202,2025-09-22,2025-09-29,,DTDC,In Transit
DLV00203,ORD00203,2025-08-29,2025-08-31,2025-09-03,Ecom Express,Delivered
DLV00204,ORD00204,2025-02-28,2025-03-03,,Ecom Express,In Transit
DLV00205,ORD00205,2025-08-01,2025-08-04,,Ecom Express,Failed
DLV00206,ORD00206,2025-12-30,2026-01-06,2026-01-07,Delhivery,Delivered
DLV00207,ORD00207,2025-11-10,2025-11-12,,Blue Dart,Failed
DLV00208,ORD00208,2025-06-01,2025-06-05,2025-06-05,DTDC,Delivered
DLV00209,ORD00209,2025-11-12,2025-11-14,,XpressBees,In Transit
DLV00210,ORD00210,2025-08-07,2025-08-12,,XpressBees,Failed
DLV00211,ORD00211,2025-12-04,2025-12-08,,XpressBees,Failed
DLV00212,ORD00212,2025-07-29,2025-07-31,,Blue Dart,Failed
DLV00213,ORD00213,2025-12-06,2025-12-11,,Blue Dart,Failed
DLV00214,ORD00214,2025-01-16,2025-01-19,,Ecom Express,Out for Delivery
DLV00215,ORD00215,2025-07-25,2025-07-28,,XpressBees,In Transit
DLV00216,ORD00216,2025-09-20,2025-09-25,2025-09-26,DTDC,Delivered
DLV00217,ORD00217,2025-09-17,2025-09-21,,DTDC,Delayed
DLV00218,ORD00218,2025-10-22,2025-10-27,,XpressBees,In Transit
DLV00219,ORD00219,2025-09-01,2025-09-04,,Blue Dart,Delayed
DLV00220,ORD00220,2025-10-03,2025-10-05,,Delhivery,Delayed
DLV00221,ORD00221,2025-08-22,2025-08-27,,Delhivery,Failed
DLV00222,ORD00222,2025-07-10,2025-07-17,,DTDC,Out for Delivery
DLV00223,ORD00223,2025-06-01,2025-06-05,,DTDC,Failed
DLV00224,ORD00224,2025-03-10,2025-03-12,,Blue Dart,Out for Delivery
DLV00225,ORD00225,2025-10-31,2025-11-07,2025-11-07,DTDC,Delivered
DLV00226,ORD00226,2025-01-30,2025-02-04,,Delhivery,In Transit
DLV00227,ORD00227,2025-01-22,2025-01-26,2025-01-29,DTDC,Delivered
DLV00228,ORD00228,2025-03-16,2025-03-22,2025-03-25,DTDC,Delivered
DLV00229,ORD00229,2025-12-25,2025-12-31,,Ecom Express,In Transit
DLV00230,ORD00230,2025-12-30,2026-01-03,,XpressBees,Out for Delivery
DLV00231,ORD00231,2025-07-20,2025-07-26,,Blue Dart,In Transit
DLV00232,ORD00232,2025-10-20,2025-10-27,,Blue Dart,In Transit
DLV00233,ORD00233,2025-05-10,2025-05-12,,Blue Dart,Delayed
DLV00234,ORD00234,2025-05-27,2025-05-31,,Ecom Express,Out for Delivery
DLV00235,ORD00235,2025-12-13,2025-12-15,2025-12-16,DTDC,Delivered
DLV00236,ORD00236,2025-04-24,2025-04-27,2025-04-26,XpressBees,Delivered
DLV00237,ORD00237,2025-10-08,2025-10-14,,Ecom Express,Out for Delivery
DLV00238,ORD00238,2025-03-10,2025-03-13,2025-03-14,Ecom Express,Delivered
DLV00239,ORD00239,2025-08-04,2025-08-07,,Blue Dart,Out for Delivery
DLV00240,ORD00240,2025-09-25,2025-09-28,,XpressBees,In Transit
DLV00241,ORD00241,2025-01-23,2025-01-27,,Delhivery,Delayed
DLV00242,ORD00242,2025-04-05,2025-04-11,2025-04-13,Ecom Express,Delivered
DLV00243,ORD00243,2025-06-24,2025-06-29,,DTDC,Delayed
DLV00244,ORD00244,2025-04-28,2025-05-03,,Ecom Express,Out for Delivery
DLV00245,ORD00245,2025-03-12,2025-03-15,,Ecom Express,Failed
DLV00246,ORD00246,2025-01-10,2025-01-14,,Ecom Express,Delayed
DLV00247,ORD00247,2025-06-18,2025-06-24,,Blue Dart,Failed
DLV00248,ORD00248,2025-01-08,2025-01-13,,XpressBees,In Transit
DLV00249,ORD00249,2025-01-26,2025-01-28,,Blue Dart,Failed
DLV00250,ORD00250,2025-06-06,2025-06-09,,Delhivery,Delayed
DLV00251,ORD00251,2025-07-13,2025-07-19,,DTDC,Out for Delivery
DLV00252,ORD00252,2025-10-20,2025-10-24,,XpressBees,Out for Delivery
DLV00253,ORD00253,2025-11-10,2025-11-17,2025-11-20,Delhivery,Delivered
DLV00254,ORD00254,2025-04-23,2025-04-25,2025-04-26,Delhivery,Delivered
DLV00255,ORD00255,2025-08-11,2025-08-17,,Blue Dart,Delayed
DLV00256,ORD00256,2025-06-18,2025-06-24,,Delhivery,In Transit
DLV00257,ORD00257,2025-04-11,2025-04-16,2025-04-18,Blue Dart,Delivered
DLV00258,ORD00258,2025-12-03,2025-12-07,,Delhivery,Delayed
DLV00259,ORD00259,2025-12-24,2025-12-30,,Blue Dart,Failed
DLV00260,ORD00260,2025-06-21,2025-06-25,,DTDC,In Transit
DLV00261,ORD00261,2025-08-06,2025-08-10,,Delhivery,Delayed
DLV00262,ORD00262,2025-02-25,2025-03-01,2025-03-01,Ecom Express,Delivered
DLV00263,ORD00263,2025-12-02,2025-12-06,,Ecom Express,Delayed
DLV00264,ORD00264,2025-06-13,2025-06-19,,Blue Dart,Out for Delivery
DLV00265,ORD00265,2025-12-08,2025-12-15,,Delhivery,Out for Delivery
DLV00266,ORD00266,2025-09-28,2025-09-30,,Delhivery,Failed
DLV00267,ORD00267,2025-04-30,2025-05-07,,XpressBees,Failed
DLV00268,ORD00268,2025-11-22,2025-11-24,,Ecom Express,Failed
DLV00269,ORD00269,2025-10-24,2025-10-27,2025-10-28,DTDC,Delivered
DLV00270,ORD00270,2025-03-06,2025-03-13,2025-03-14,Blue Dart,Delivered
DLV00271,ORD00271,2025-10-29,2025-11-02,,Ecom Express,In Transit
DLV00272,ORD00272,2025-04-11,2025-04-14,2025-04-14,Delhivery,Delivered
DLV00273,ORD00273,2025-12-22,2025-12-27,2025-12-30,Ecom Express,Delivered
DLV00274,ORD00274,2025-02-18,2025-02-22,,Blue Dart,Out for Delivery
DLV00275,ORD00275,2025-08-23,2025-08-29,,Blue Dart,Out for Delivery
DLV00276,ORD00276,2025-09-26,2025-09-29,,Delhivery,Out for Delivery
DLV00277,ORD00277,2025-02-23,2025-02-27,,Ecom Express,Failed
DLV00278,ORD00278,2025-05-20,2025-05-26,,DTDC,In Transit
DLV00279,ORD00279,2025-04-30,2025-05-04,,Delhivery,Failed
DLV00280,ORD00280,2025-08-05,2025-08-09,,Blue Dart,Failed
DLV00281,ORD00281,2025-10-30,2025-11-02,,DTDC,In Transit
DLV00282,ORD00282,2025-10-03,2025-10-06,,XpressBees,In Transit
DLV00283,ORD00283,2025-01-25,2025-01-31,,Ecom Express,Failed
DLV00284,ORD00284,2025-08-19,2025-08-24,,XpressBees,In Transit
DLV00285,ORD00285,2025-07-26,2025-07-28,,XpressBees,In Transit
DLV00286,ORD00286,2025-09-26,2025-10-03,2025-10-02,DTDC,Delivered
DLV00287,ORD00287,2025-06-01,2025-06-04,,DTDC,Out for Delivery
DLV00288,ORD00288,2025-03-13,2025-03-15,,XpressBees,In Transit
DLV00289,ORD00289,2025-11-02,2025-11-08,,XpressBees,In Transit
DLV00290,ORD00290,2025-07-12,2025-07-17,,Delhivery,In Transit
DLV00291,ORD00291,2025-12-16,2025-12-21,,DTDC,Delayed
DLV00292,ORD00292,2025-03-23,2025-03-25,2025-03-26,Ecom Express,Delivered
DLV00293,ORD00293,2025-10-19,2025-10-26,2025-10-25,Ecom Express,Delivered
DLV00294,ORD00294,2025-10-01,2025-10-05,,DTDC,Out for Delivery
DLV00295,ORD00295,2025-10-14,2025-10-20,,Ecom Express,Delayed
DLV00296,ORD00296,2025-04-01,2025-04-05,,Delhivery,In Transit
DLV00297,ORD00297,2025-10-10,2025-10-16,,XpressBees,Failed
DLV00298,ORD00298,2025-01-15,2025-01-22,,Delhivery,Failed
DLV00299,ORD00299,2025-04-04,2025-04-06,,Blue Dart,Failed
DLV00300,ORD00300,2025-05-04,2025-05-09,,DTDC,Delayed
DLV00301,ORD00301,2025-12-19,2025-12-23,2025-12-24,Ecom Express,Delivered
DLV00302,ORD00302,2025-11-26,2025-11-28,,Delhivery,Out for Delivery
DLV00303,ORD00303,2025-12-14,2025-12-16,,XpressBees,Out for Delivery
DLV00304,ORD00304,2025-04-10,2025-04-14,,XpressBees,Delayed
DLV00305,ORD00305,2025-03-13,2025-03-17,,DTDC,Delayed
DLV00306,ORD00306,2025-08-22,2025-08-28,,XpressBees,Out for Delivery
DLV00307,ORD00307,2025-04-29,2025-05-01,2025-05-03,Ecom Express,Delivered
DLV00308,ORD00308,2025-11-20,2025-11-23,,Ecom Express,Delayed
DLV00309,ORD00309,2025-10-24,2025-10-31,,XpressBees,Failed
DLV00310,ORD00310,2025-12-26,2026-01-01,,Ecom Express,Delayed
DLV00311,ORD00311,2025-04-12,2025-04-15,,Ecom Express,Delayed
DLV00312,ORD00312,2025-10-02,2025-10-07,,Ecom Express,Out for Delivery
DLV00313,ORD00313,2025-02-13,2025-02-20,,Ecom Express,Out for Delivery
DLV00314,ORD00314,2025-12-05,2025-12-07,2025-12-08,Delhivery,Delivered
DLV00315,ORD00315,2025-05-01,2025-05-04,,Ecom Express,Out for Delivery
DLV00316,ORD00316,2025-04-17,2025-04-20,,Delhivery,Failed
DLV00317,ORD00317,2025-10-22,2025-10-29,2025-10-30,DTDC,Delivered
DLV00318,ORD00318,2025-03-26,2025-03-28,,Ecom Express,Delayed
DLV00319,ORD00319,2025-02-10,2025-02-14,,Ecom Express,Delayed
DLV00320,ORD00320,2025-10-20,2025-10-24,2025-10-25,Ecom Express,Delivered
DLV00321,ORD00321,2025-07-05,2025-07-10,,DTDC,Out for Delivery
DLV00322,ORD00322,2025-06-11,2025-06-13,,XpressBees,Failed
DLV00323,ORD00323,2025-10-16,2025-10-22,,Ecom Express,Delayed
DLV00324,ORD00324,2025-03-13,2025-03-16,,Delhivery,Out for Delivery
DLV00325,ORD00325,2025-07-27,2025-08-02,,DTDC,Out for Delivery
DLV00326,ORD00326,2025-12-07,2025-12-14,,Ecom Express,Delayed
DLV00327,ORD00327,2025-08-31,2025-09-05,,Ecom Express,Delayed
DLV00328,ORD00328,2025-10-11,2025-10-13,,Ecom Express,Delayed
DLV00329,ORD00329,2025-01-10,2025-01-14,2025-01-13,Blue Dart,Delivered
DLV00330,ORD00330,2025-07-19,2025-07-21,,Delhivery,Delayed
DLV00331,ORD00331,2025-01-27,2025-02-01,,Delhivery,Out for Delivery
DLV00332,ORD00332,2025-03-29,2025-04-02,,Ecom Express,In Transit
DLV00333,ORD00333,2025-11-13,2025-11-16,2025-11-15,Ecom Express,Delivered
DLV00334,ORD00334,2025-10-05,2025-10-10,,XpressBees,Delayed
DLV00335,ORD00335,2025-11-16,2025-11-21,,Blue Dart,In Transit
DLV00336,ORD00336,2025-06-13,2025-06-15,,XpressBees,Delayed
DLV00337,ORD00337,2025-01-14,2025-01-17,,Delhivery,Failed
DLV00338,ORD00338,2025-02-04,2025-02-06,,DTDC,Delayed
DLV00339,ORD00339,2025-08-27,2025-08-31,2025-09-02,Blue Dart,Delivered
DLV00340,ORD00340,2025-10-06,2025-10-09,2025-10-11,Blue Dart,Delivered
DLV00341,ORD00341,2025-07-19,2025-07-25,,XpressBees,Out for Delivery
DLV00342,ORD00342,2025-06-04,2025-06-06,,DTDC,Out for Delivery
DLV00343,ORD00343,2025-12-07,2025-12-13,2025-12-15,Blue Dart,Delivered
DLV00344,ORD00344,2025-06-13,2025-06-16,,DTDC,Delayed
DLV00345,ORD00345,2025-02-07,2025-02-14,,DTDC,Delayed
DLV00346,ORD00346,2025-11-19,2025-11-25,,Delhivery,In Transit
DLV00347,ORD00347,2025-07-27,2025-07-30,,Blue Dart,Delayed
DLV00348,ORD00348,2025-11-11,2025-11-14,2025-11-16,Ecom Express,Delivered
DLV00349,ORD00349,2025-12-10,2025-12-15,,Blue Dart,Delayed
