product_id,brand,category,sub_category,price,rating,review_count
PRD0024,Varma-Dass,Sports & Fitness,Outdoor Recreation,115848.13,1.7,230
PRD0025,"Iyengar, Kaul and Vaidya",Books,Non-Fiction,229608.54,3.7,395
PRD0026,"Mukhopadhyay, Vora and Shanker",Home & Kitchen,Cookware,332620.96,2.9,2013
PRD0027,Pandey-Chand,Home & Kitchen,Kitchen Appliances,354586.07,1.3,4165
PRD0028,Mandal PLC,Books,Science,389595.07,3.7,1667
PRD0029,Dayal-Basu,Electronics,Smartwatches,254739.05,2.2,1135
PRD0030,Chakraborty-Thakur,Home & Kitchen,Home Decor,135855.72,4.7,2589
PRD0031,Palla-Bhandari,Grocery,Frozen Foods,309375.26,1.9,795
PRD0032,"Verma, Patla and Sani",Books,Non-Fiction,440662.44,3.6,2529
PRD0033,Gulati-Sami,Sports & Fitness,Football,46608.17,3.0,1726
PRD0034,Dass and Sons,Electronics,Gaming Consoles,481216.6,3.6,2900
PRD0035,"Chaudry, Dugal and Mahajan",Grocery,Frozen Foods,435053.37,2.7,2881
PRD0036,Randhawa-Maharaj,Home & Kitchen,Kitchen Appliances,14285.8,4.5,339
PRD0037,Kota PLC,Grocery,Snacks,19282.54,4.5,3723
PRD0038,"Kapoor, Parmer and Pillai",Books,History,475755.84,3.9,1212
PRD0039,Kala and Sons,Sports & Fitness,Football,404.11,3.7,2855
PRD0040,"Wali, Pall and Rama",Beauty & Personal Care,Bath & Body,258289.75,4.9,299
PRD0041,Jain-Pathak,Grocery,Dairy,386068.92,1.7,4421
PRD0042,Mahal Ltd,Books,History,404782.24,3.7,4653
PRD0043,Dubey PLC,Sports & Fitness,Cricket,267712.35,2.6,4824
PRD0044,"Sani, Dutta and D’Alia",Grocery,Staples,37639.26,3.3,2481
PRD0045,"Venkatesh, Srinivasan and Sidhu",Beauty & Personal Care,Hair Care,50894.14,4.3,24
PRD0046,Kalita-D’Alia,Beauty & Personal Care,Grooming,299475.4,4.3,1928
PRD0047,"Kaul, Narayanan and Ranganathan",Grocery,Snacks,135167.95,4.0,2902
PRD0048,Ramesh Ltd,Beauty & Personal Care,Grooming,388284.84,1.3,1830
PRD0049,"Doshi, More and Goyal",Books,Science,305057.06,1.4,3726
PRD0050,Bhakta LLC,Electronics,Headphones,169074.76,2.4,3133
PRD0051,"Mitra, Pingle and Nath",Home & Kitchen,Storage,481450.5,3.6,1794
PRD0052,"Sule, Sagar and Sinha",Home & Kitchen,Cookware,5013.37,3.9,3218
PRD0053,"Parekh, Handa and Hayre",Beauty & Personal Care,Bath & Body,219816.79,3.5,2247
PRD0054,Ramakrishnan Ltd,Grocery,Frozen Foods,403175.85,4.4,1492
PRD0055,Sethi Ltd,Home & Kitchen,Lighting,144415.29,2.0,1355
PRD0056,Chand-Sura,Sports & Fitness,Cycling,375116.59,3.2,679
PRD0057,Shah-Ratta,Home & Kitchen,Kitchen Appliances,436271.34,2.5,4788
PRD0058,Walla-Chaudhary,Sports & Fitness,Cycling,274202.64,2.3,304
PRD0059,Shenoy-Virk,Books,Science,69890.6,4.7,1206
PRD0060,Walia Ltd,Home & Kitchen,Lighting,201975.51,1.1,19
PRD0061,"Bedi, Ratta and Bal",Toys & Games,Educational Toys,280078.39,4.3,4974
PRD0062,Pillai Ltd,Beauty & Personal Care,Skincare,7644.0,4.6,359
PRD0063,Mittal-Doctor,Home & Kitchen,Bedding,392027.06,2.3,663
PRD0064,"Dhingra, Choudhary and Nair",Sports & Fitness,Yoga,353042.17,2.7,3786
PRD0065,"Bhardwaj, Mital and Sami",Grocery,Bakery,316183.24,3.9,1424
PRD0066,"Bhagat, Banerjee and Sunder",Electronics,Smartwatches,312144.24,2.5,4206
PRD0067,"Minhas, Wadhwa and Atwal",Sports & Fitness,Cycling,285269.76,4.4,1780
PRD0068,Tata Group,Electronics,Smartwatches,396547.89,3.5,1751
PRD0069,"Kalla, Prabhakar and Kumar",Grocery,Fruits & Vegetables,12944.23,1.4,2592
PRD0070,Walla Ltd,Beauty & Personal Care,Bath & Body,245276.45,4.4,718
PRD0071,Wadhwa-Anne,Electronics,Laptops,336412.37,4.3,4232
PRD0072,"Bobal, Raja and Dube",Electronics,Tablets,177782.5,1.1,2988
PRD0073,Naik PLC,Beauty & Personal Care,Hair Care,207272.6,2.9,2692
PRD0074,Banik-Dave,Toys & Games,Action Figures,365866.1,4.4,2385
PRD0075,"Bora, Sethi and Keer",Clothing,Shirts,178067.75,1.5,844
PRD0076,Dani-Sehgal,Books,Biography,408837.17,2.5,4086
PRD0077,"Vala, Chand and Krishnamurthy",Books,Biography,46386.65,1.1,106
PRD0078,"Keer, Bawa and Salvi",Electronics,Cameras,377438.99,4.7,1023
PRD0079,Date-Thakkar,Grocery,Snacks,52375.45,3.0,4847
PRD0080,Bala-Kamdar,Toys & Games,Board Games,289579.01,1.4,2105
PRD0081,Atwal LLC,Beauty & Personal Care,Grooming,422104.17,4.6,4059
PRD0082,"Deo, Bora and Dalal",Sports & Fitness,Running,483055.39,3.0,2562
PRD0083,"Khanna, Bakshi and Dasgupta",Beauty & Personal Care,Grooming,393452.44,2.4,1240
PRD0084,Mahajan-Kapoor,Sports & Fitness,Cycling,349448.73,3.5,948
PRD0085,Dugar-Lal,Clothing,T-Shirts,430414.2,2.9,4006
PRD0086,Kalla and Sons,Toys & Games,Board Games,29313.76,1.9,2770
PRD0087,Sarin PLC,Books,Science,391867.7,4.7,1675
PRD0088,"Subramaniam, Pall and Sodhi",Electronics,Smartwatches,350575.13,1.0,3415
PRD0089,Sarma PLC,Home & Kitchen,Storage,305458.21,4.8,3085
PRD0090,Suresh Group,Clothing,Sarees,125416.0,3.4,2268
PRD0091,"Dara, Sahota and Parikh",Books,Science,252674.36,2.9,3577
PRD0092,Kannan-Dube,Grocery,Bakery,134866.12,3.8,4647
PRD0093,Tiwari-Gour,Grocery,Beverages,263627.73,4.3,4219
PRD0094,"Sangha, Grover and Shankar",Home & Kitchen,Storage,193799.52,2.6,2658
PRD0095,Shah Ltd,Books,Biography,223259.72,3.5,4319
PRD0096,"Chanda, Bajaj and Tak",Books,History,279302.34,1.3,998
PRD0097,Lad and Sons,Clothing,Sarees,20682.57,2.3,4613
PRD0098,Barad-Atwal,Books,Science,91723.55,2.3,3812
PRD0099,"Dhaliwal, Pillay and Merchant",Books,History,130423.59,4.0,1089
PRD0100,"Buch, Srivastava and Chaudhuri",Clothing,Trousers,274137.65,2.2,506
PRD0101,"Goswami, Mand and Jani",Clothing,Dresses,167119.54,3.2,2911
PRD0102,"Chandran, Puri and Munshi",Clothing,Jackets,448601.47,4.1,2119
PRD0103,Bhardwaj Group,Sports & Fitness,Football,477670.48,3.6,707
PRD0104,"Kakar, Shukla and Deo",Toys & Games,Remote Control Toys,343413.97,2.2,2579
PRD0105,Mukherjee-Mangal,Grocery,Beverages,372421.86,3.7,154
PRD0106,"Aurora, Bajwa and Yadav",Sports & Fitness,Football,266553.12,4.8,4834
PRD0107,Karan and Sons,Clothing,Dresses,234275.96,4.1,1258
PRD0108,"Soni, Ray and Palan",Books,History,457847.87,1.2,344
PRD0109,Dutt-Shan,Grocery,Bakery,265195.53,1.0,1228
PRD0110,Devan-Khosla,Sports & Fitness,Cycling,476684.32,3.6,2414
PRD0111,Dar Ltd,Clothing,Jeans,203119.11,3.3,1228
PRD0112,Atwal-Buch,Books,Science,413623.27,3.3,1523
PRD0113,Nori Group,Electronics,Televisions,480366.85,2.5,1597
PRD0114,"Buch, Narayan and Nanda",Electronics,Smartwatches,112637.36,1.2,4555
PRD0115,Agarwal LLC,Electronics,Smartwatches,375816.78,1.7,381
PRD0116,Saxena Inc,Toys & Games,Remote Control Toys,405121.15,3.5,1607
PRD0117,Jhaveri Ltd,Clothing,Sarees,233957.85,4.4,2326
PRD0118,Iyer PLC,Toys & Games,Action Figures,283836.47,2.3,3024
PRD0119,Dhillon-Badami,Clothing,Trousers,203981.61,1.1,2280
PRD0120,Minhas-Talwar,Beauty & Personal Care,Makeup,280532.71,3.2,4635
PRD0121,"Singh, Chaudhary and Mitter",Home & Kitchen,Home Decor,275088.86,2.1,3150
PRD0122,"Virk, Sood and Kata",Clothing,Jackets,58233.85,2.0,930
PRD0123,Mani-Padmanabhan,Books,Biography,404763.53,4.5,2770
PRD0124,"Chaudhary, Sami and Salvi",Electronics,Gaming Consoles,32354.36,1.7,2427
PRD0125,Chhabra-Varma,Grocery,Frozen Foods,118921.52,3.2,952
PRD0126,Nanda LLC,Toys & Games,Remote Control Toys,349206.68,2.2,4919
PRD0127,Choudhary and Sons,Home & Kitchen,Home Decor,497967.67,3.5,680
PRD0128,"Shukla, Chaudhry and Oza",Toys & Games,Remote Control Toys,488283.83,2.8,3352
PRD0129,Chana Inc,Toys & Games,Action Figures,48659.49,2.3,2234
PRD0130,Dass-Gulati,Grocery,Beverages,284873.13,2.3,932
PRD0131,Dixit and Sons,Clothing,Shoes,54831.73,3.3,3735
PRD0132,Sampath-Raju,Clothing,Jackets,428887.21,2.9,3979
PRD0133,"Viswanathan, Menon and Cherian",Electronics,Tablets,470196.95,2.5,2890
PRD0134,Nagarajan-Samra,Beauty & Personal Care,Hair Care,320861.2,1.1,3092
PRD0135,"Kara, Krishnan and Nagar",Beauty & Personal Care,Grooming,338060.45,2.9,2553
PRD0136,"Dhingra, Sunder and Yadav",Books,Science,417077.04,2.9,538
PRD0137,"Krishnan, Bhatnagar and Bhatnagar",Clothing,Jackets,446911.84,4.8,2238
PRD0138,Dubey-Garde,Electronics,Smartwatches,135488.73,2.2,20
PRD0139,"Wable, Sinha and Minhas",Beauty & Personal Care,Fragrances,157114.43,1.4,3099
PRD0140,Dhaliwal-De,Electronics,Laptops,431390.62,4.9,4243
PRD0141,"Krishna, Doctor and Mahal",Sports & Fitness,Running,65583.44,3.0,2450
PRD0142,Sethi-Lala,Grocery,Dairy,276351.39,3.1,3940
PRD0143,Bhakta Group,Toys & Games,Dolls,320682.49,1.2,2777
PRD0144,"Bhalla, Cheema and Setty",Beauty & Personal Care,Fragrances,365322.18,3.3,2812
PRD0145,Mann Inc,Sports & Fitness,Running,453082.61,3.9,432
PRD0146,Luthra-Dhar,Toys & Games,Educational Toys,404258.53,4.4,2828
PRD0147,Ghosh-Dutta,Toys & Games,Dolls,368957.79,5.0,2721
PRD0148,"Randhawa, Choudhary and Majumdar",Beauty & Personal Care,Skincare,27874.16,2.1,3501
PRD0149,"Bal, Kapoor and Ramanathan",Electronics,Tablets,335999.71,4.1,3227
PRD0150,"Jayaraman, Bala and Bobal",Toys & Games,Puzzles,346198.44,3.2,1205
PRD0151,Chadha-Hegde,Beauty & Personal Care,Fragrances,262566.67,2.1,1132
PRD0152,Kade-Dora,Sports & Fitness,Yoga,496559.29,4.7,3255
PRD0153,Johal Inc,Sports & Fitness,Cricket,333176.44,1.2,3716
PRD0154,Narayan-Kade,Clothing,Shoes,209673.07,4.5,2066
PRD0155,"Mittal, Andra and Mody",Clothing,Trousers,311483.01,3.0,4495
PRD0156,D’Alia and Sons,Sports & Fitness,Gym Equipment,259678.66,3.0,4326
PRD0157,Nadig Group,Toys & Games,Remote Control Toys,75831.01,3.5,354
PRD0158,"Randhawa, Chad and Balakrishnan",Toys & Games,Dolls,167900.97,4.8,4468
PRD0159,Mall-Savant,Toys & Games,Puzzles,486431.31,4.1,1668
PRD0160,"Sunder, Mangal and Chandra",Clothing,Jackets,252632.65,2.5,452
PRD0161,"Kaur, Dara and Hans",Beauty & Personal Care,Bath & Body,2513.58,3.2,800
PRD0162,Kala PLC,Beauty & Personal Care,Bath & Body,359243.43,2.0,2533
PRD0163,"Mohanty, Khosla and Konda",Sports & Fitness,Yoga,396894.78,2.6,1182
PRD0164,"Samra, Mittal and Bhatti",Books,Science,21192.22,1.1,168
PRD0165,Sahota-Mittal,Clothing,T-Shirts,41259.55,2.9,1825
PRD0166,"Deshpande, Zacharia and Vaidya",Grocery,Dairy,482339.14,2.0,1432
PRD0167,Garg-Dua,Toys & Games,Remote Control Toys,187116.23,1.8,364
PRD0168,"Chandra, Virk and Chanda",Grocery,Staples,322768.56,1.8,788
PRD0169,Parsa-Chacko,Clothing,Sarees,395469.1,4.4,3617
PRD0170,Sodhi-Kanda,Grocery,Beverages,304034.45,3.5,3602
PRD0171,"Nayak, Vohra and Chacko",Sports & Fitness,Football,244653.73,1.3,4720
PRD0172,"Mann, Gupta and Shenoy",Beauty & Personal Care,Hair Care,391302.22,3.7,4476
PRD0173,Dugar-Dugal,Electronics,Smartwatches,203316.2,1.4,2549
PRD0174,Chanda-Minhas,Books,Non-Fiction,468347.49,4.5,3445
PRD0175,"Munshi, Ratti and Gopal",Sports & Fitness,Outdoor Recreation,64060.28,2.8,4738
PRD0176,Khanna-Kala,Books,Children's Books,62187.17,4.9,4606
PRD0177,"Subramanian, Luthra and Kaur",Beauty & Personal Care,Fragrances,416799.81,1.2,3427
PRD0178,"Johal, Wali and Borah",Home & Kitchen,Storage,92916.82,2.2,3822
PRD0179,Kade-Kuruvilla,Books,History,266939.11,1.1,3258
PRD0180,Bhatti-Sharma,Clothing,Dresses,110455.66,2.7,1093
PRD0181,"Magar, Merchant and Mangal",Grocery,Dairy,182672.1,1.3,229
PRD0182,"Tripathi, Krish and Trivedi",Electronics,Tablets,384713.55,4.7,4943
PRD0183,Bhasin-Narasimhan,Home & Kitchen,Cookware,442712.73,1.9,4756
PRD0184,"Sharma, Natt and Sheth",Clothing,Dresses,199268.22,3.7,4178
PRD0185,"Varughese, Mani and Samra",Sports & Fitness,Running,382123.7,1.2,142
PRD0186,Issac-Dubey,Clothing,Jeans,153989.47,1.8,2799
PRD0187,Venkatesh and Sons,Toys & Games,Board Games,459959.6,1.9,1892
PRD0188,Ratti Inc,Grocery,Dairy,319504.96,4.4,2977
PRD0189,Ramesh LLC,Sports & Fitness,Cricket,292337.81,4.0,4946
PRD0190,Kala-Karpe,Clothing,Shirts,409175.78,4.3,2843
PRD0191,"Swaminathan, Pingle and Madan",Home & Kitchen,Kitchen Appliances,341365.94,1.1,2753
PRD0192,Pai-Wable,Beauty & Personal Care,Hair Care,427496.73,1.6,802
PRD0193,Mohan PLC,Clothing,Shoes,367591.73,1.5,435
PRD0194,"Tank, Rai and Magar",Electronics,Headphones,446793.8,2.4,980
PRD0195,"Yadav, Nair and Sinha",Beauty & Personal Care,Bath & Body,291033.01,4.3,355
PRD0196,Suresh Group,Electronics,Tablets,154052.13,4.8,1866
PRD0197,Murty Inc,Clothing,Shirts,217469.36,4.1,1540
PRD0198,D’Alia PLC,Books,Children's Books,126993.94,5.0,4257
PRD0199,"Sarin, Zacharia and Tailor",Books,Self-Help,450827.42,3.7,4088
PRD0200,"Rajagopal, Suresh and Garde",Clothing,Sarees,447222.3,1.4,1681
PRD0201,Kapur-Nanda,Books,Self-Help,183966.16,2.3,3134
PRD0202,"Jain, Bir and Sandal",Toys & Games,Dolls,165292.73,2.9,2524
PRD0203,Chander LLC,Beauty & Personal Care,Makeup,17047.79,2.8,3370
PRD0204,Patil-Sodhi,Clothing,Sarees,176114.34,1.2,494
PRD0205,Narula-Deol,Toys & Games,Dolls,440932.13,2.8,2438
PRD0206,"Din, Borah and Shah",Electronics,Gaming Consoles,197179.77,1.9,3563
PRD0207,Dhingra-Khosla,Toys & Games,Board Games,343998.24,3.1,4067
PRD0208,"Deshmukh, Verma and Khurana",Beauty & Personal Care,Bath & Body,63766.87,3.8,2386
PRD0209,Baral and Sons,Books,Biography,428885.9,4.9,3701
PRD0210,"Rama, Rajan and Prabhakar",Books,Self-Help,417928.44,2.1,1794
PRD0211,Khosla-Kunda,Books,Self-Help,373727.86,4.8,2569
PRD0212,Goel Group,Clothing,Jeans,251709.96,4.8,3794
PRD0213,Bhatti Inc,Sports & Fitness,Football,455938.82,2.0,2045
PRD0214,Sheth-Ben,Beauty & Personal Care,Grooming,336553.54,4.7,3816
PRD0215,"Agarwal, Deep and Shetty",Clothing,Trousers,424237.74,4.5,2564
PRD0216,Balay-Guha,Sports & Fitness,Running,499353.57,3.4,3385
PRD0217,Chokshi PLC,Toys & Games,Action Figures,291586.72,2.7,1533
PRD0218,"Kakar, Reddy and Taneja",Electronics,Laptops,80392.41,2.6,2567
PRD0219,Mitra-Tank,Grocery,Bakery,315788.16,2.2,218
PRD0220,"Andra, Yadav and Kale",Home & Kitchen,Bedding,217566.6,2.6,3653
PRD0221,Lalla-Memon,Sports & Fitness,Cycling,497286.65,1.1,3345
PRD0222,"Hayer, Dhaliwal and Sarkar",Books,History,495711.35,3.6,4538
PRD0223,Dhawan-Wali,Toys & Games,Remote Control Toys,463774.72,3.0,3016
PRD0224,Menon and Sons,Home & Kitchen,Home Decor,140719.79,2.6,4124
PRD0225,"Patel, Shroff and Gill",Beauty & Personal Care,Grooming,36390.54,4.8,924
PRD0226,Vaidya PLC,Home & Kitchen,Storage,473556.93,1.9,1957
PRD0227,"Vasa, Bahl and Chauhan",Sports & Fitness,Cricket,233563.85,1.8,4712
PRD0228,Sunder-Char,Beauty & Personal Care,Bath & Body,28490.37,2.7,1090
PRD0229,Kala-Prashad,Clothing,Shirts,222489.98,3.2,3774
PRD0230,Dasgupta Ltd,Electronics,Televisions,51870.69,3.1,1557
PRD0231,Dugar-Sami,Clothing,Jeans,212707.32,1.6,2432
PRD0232,"Gopal, Bhardwaj and Grewal",Clothing,Dresses,432129.02,2.5,454
PRD0233,Lalla Group,Beauty & Personal Care,Grooming,444388.32,1.8,2195
PRD0234,Sinha-Grewal,Beauty & Personal Care,Fragrances,43067.33,2.0,4733
PRD0235,Barad Inc,Beauty & Personal Care,Grooming,184210.51,2.4,518
PRD0236,"Halder, Konda and Shetty",Books,History,91060.8,3.4,3854
PRD0237,Puri Inc,Clothing,Jeans,45392.84,4.2,2738
PRD0238,"Sathe, Natt and Sastry",Home & Kitchen,Kitchen Appliances,208151.04,1.8,1283
PRD0239,"D’Alia, Thakur and Bhattacharyya",Books,History,308881.86,3.2,2915
PRD0240,Vasa PLC,Toys & Games,Board Games,134506.53,3.8,4414
PRD0241,Sura PLC,Home & Kitchen,Furniture,313050.32,1.9,2424
PRD0242,"Madan, Dixit and Bedi",Electronics,Cameras,96910.37,3.6,2505
PRD0243,"Luthra, Taneja and Chauhan",Toys & Games,Remote Control Toys,126540.73,5.0,1903
PRD0244,"Narula, Joshi and Randhawa",Sports & Fitness,Cricket,253186.64,3.2,600
PRD0245,"Jaggi, Rama and Ray",Toys & Games,Board Games,141293.88,2.3,4516
PRD0246,Venkatesh Group,Books,Non-Fiction,244876.34,5.0,2638
PRD0247,"Sabharwal, Gola and Chhabra",Home & Kitchen,Kitchen Appliances,134623.99,1.8,1644
PRD0248,Chaudry LLC,Toys & Games,Educational Toys,293696.67,4.5,3067
PRD0249,Krish-Divan,Home & Kitchen,Storage,486760.78,3.7,3352
PRD0250,Hora-Pall,Electronics,Gaming Consoles,213435.85,1.7,639
PRD0251,Sodhi-Bains,Clothing,Shirts,17635.27,1.7,3263
PRD0252,Dash-Munshi,Beauty & Personal Care,Makeup,106677.12,2.8,4285
PRD0253,Choudhry LLC,Grocery,Bakery,370166.52,1.7,1706
PRD0254,Pau-Dada,Books,Biography,401443.93,1.4,4722
PRD0255,"Lal, Shukla and Devi",Home & Kitchen,Kitchen Appliances,161716.33,1.1,4242
PRD0256,Arya Group,Clothing,Shoes,469841.46,1.3,4181
PRD0257,"Cherian, Bhatti and Lad",Clothing,Dresses,25097.81,4.6,3947
PRD0258,Dutt and Sons,Sports & Fitness,Football,120169.47,1.8,4935
PRD0259,Munshi-Chad,Toys & Games,Action Figures,158482.78,4.3,3382
PRD0260,Brar Inc,Grocery,Staples,251438.98,4.8,3813
PRD0261,Oommen-Toor,Sports & Fitness,Cricket,262484.66,2.3,1092
PRD0262,Kanda-Bhat,Electronics,Gaming Consoles,71701.07,2.0,4772
PRD0263,"Korpal, Din and Srinivas",Grocery,Frozen Foods,325576.25,3.5,2661
PRD0264,Dhingra PLC,Grocery,Snacks,284299.65,1.5,4313
PRD0265,"Krish, Patel and Sarna",Toys & Games,Educational Toys,276605.28,2.6,1686
PRD0266,"Nayar, Kapadia and Chaudhary",Clothing,Jeans,51510.64,3.2,4518
PRD0267,Borde-Sethi,Books,Children's Books,31656.61,4.0,1067
PRD0268,Ganesan-Walia,Electronics,Smartphones,7811.36,1.8,3102
PRD0269,"Yogi, Handa and Kulkarni",Beauty & Personal Care,Hair Care,399155.98,2.4,4684
PRD0270,Banik Group,Toys & Games,Remote Control Toys,59429.4,4.7,1085
PRD0271,Deshpande-Sethi,Home & Kitchen,Furniture,482671.43,3.8,1282
PRD0272,"Palla, Wagle and Sood",Clothing,Sarees,288054.49,4.1,1269
PRD0273,"Pal, Kumar and Purohit",Toys & Games,Board Games,254883.09,4.6,785
PRD0274,"Taneja, Trivedi and Nagarajan",Electronics,Smartwatches,26901.38,1.9,4909
PRD0275,"Seth, Bhavsar and Sem",Books,Non-Fiction,377536.84,2.4,4311
PRD0276,"Bobal, Bhardwaj and Bajaj",Beauty & Personal Care,Bath & Body,219495.98,4.5,3370
PRD0277,"Kuruvilla, Kamdar and Dalal",Grocery,Dairy,219021.68,4.3,178
PRD0278,Mukhopadhyay Ltd,Beauty & Personal Care,Bath & Body,183143.31,4.6,2963
PRD0279,Chahal-Balakrishnan,Electronics,Smartphones,367611.96,4.5,229
PRD0280,"Manne, Chad and Johal",Home & Kitchen,Cookware,475659.52,3.9,2083
PRD0281,"Chaudhuri, Madan and Bath",Home & Kitchen,Home Decor,43878.01,2.7,1437
PRD0282,Krish PLC,Home & Kitchen,Cookware,313838.55,1.6,4848
PRD0283,Bhardwaj-Mander,Grocery,Frozen Foods,466806.55,4.0,4417
PRD0284,"Badal, Bedi and Kuruvilla",Toys & Games,Board Games,309320.21,1.5,2936
PRD0285,Buch LLC,Toys & Games,Board Games,53234.0,3.7,2627
PRD0286,Panchal-Lanka,Electronics,Laptops,271113.95,3.4,3679
PRD0287,Uppal-Dara,Sports & Fitness,Outdoor Recreation,20378.33,2.9,2406
PRD0288,Dugar Group,Home & Kitchen,Bedding,159225.07,4.5,3208
PRD0289,"Sawhney, Mannan and Ben",Sports & Fitness,Cricket,484419.64,3.5,4444
PRD0290,Minhas Ltd,Electronics,Headphones,319785.27,2.2,1931
PRD0291,"Bahri, Anne and Raju",Grocery,Beverages,86034.61,4.3,1754
PRD0292,Walla Group,Sports & Fitness,Outdoor Recreation,470579.02,1.9,4817
PRD0293,Talwar PLC,Beauty & Personal Care,Makeup,132001.56,4.8,1890
PRD0294,Wason Inc,Electronics,Laptops,248756.76,1.8,1184
PRD0295,"Kapoor, Mohan and Chhabra",Electronics,Laptops,248395.69,3.7,4812
PRD0296,Mangat PLC,Clothing,Jackets,283660.66,1.8,517
PRD0297,"Doctor, Yogi and Upadhyay",Toys & Games,Board Games,122519.49,1.8,1859
PRD0298,Bobal Group,Books,Self-Help,319795.91,2.3,161
PRD0299,"Ratti, Chanda and Wali",Books,History,323143.26,1.8,3422
PRD0300,"Barad, Tandon and Mallick",Sports & Fitness,Yoga,417802.54,2.3,4958
PRD0301,Bahl Group,Grocery,Frozen Foods,7480.96,4.3,1697
PRD0302,Bir-Sen,Beauty & Personal Care,Fragrances,429435.64,4.7,102
PRD0303,Hayer-Lad,Electronics,Headphones,159069.03,3.3,568
PRD0304,Ram-Parmar,Clothing,Jeans,150917.76,3.5,1879
PRD0305,Varty-Bajaj,Home & Kitchen,Lighting,28514.31,3.1,1225
PRD0306,"Sibal, Wali and Mishra",Sports & Fitness,Football,189592.38,3.4,2685
PRD0307,Sunder Group,Beauty & Personal Care,Makeup,126220.86,3.9,3182
PRD0308,"Merchant, Kakar and Boase",Grocery,Bakery,70787.83,4.1,1440
PRD0309,"Ram, Iyengar and Padmanabhan",Grocery,Bakery,36029.14,4.4,692
PRD0310,Kala LLC,Grocery,Fruits & Vegetables,91658.23,4.0,4499
PRD0311,"Bhalla, Ramakrishnan and Sahni",Grocery,Beverages,76425.13,2.6,1840
PRD0312,Varughese LLC,Home & Kitchen,Cookware,309777.57,2.0,4071
PRD0313,"Arora, Viswanathan and Krishna",Home & Kitchen,Cookware,248044.63,2.0,4820
PRD0314,Singh PLC,Books,Children's Books,145467.21,3.0,2199
PRD0315,"Borde, Oak and Sawhney",Books,Biography,67666.1,4.9,680
PRD0316,Modi Inc,Beauty & Personal Care,Bath & Body,418760.08,3.8,1376
PRD0317,Samra Ltd,Toys & Games,Educational Toys,246252.59,3.0,4729
PRD0318,Ghose Ltd,Electronics,Gaming Consoles,13345.53,3.0,2474
PRD0319,Prashad-Agarwal,Beauty & Personal Care,Skincare,418577.73,1.4,3248
PRD0320,Yogi PLC,Home & Kitchen,Kitchen Appliances,34695.8,5.0,4034
PRD0321,Narula Ltd,Sports & Fitness,Cycling,37465.87,3.8,794
PRD0322,"Kar, Morar and Chowdhury",Toys & Games,Remote Control Toys,11015.23,2.0,307
PRD0323,"Kota, Rai and Kulkarni",Books,Non-Fiction,171393.79,4.3,4393
PRD0324,Bandi Group,Books,Fiction,437135.04,4.9,935
PRD0325,Srivastava LLC,Home & Kitchen,Kitchen Appliances,311343.01,3.4,270
PRD0326,"Shetty, Sarkar and Andra",Toys & Games,Action Figures,420915.05,2.9,4970
PRD0327,Sani and Sons,Sports & Fitness,Outdoor Recreation,127706.45,2.8,3740
PRD0328,Khanna-Chaudhry,Toys & Games,Puzzles,61902.25,2.9,4631
PRD0329,"Kant, Bhatt and Ravi",Sports & Fitness,Cricket,40263.52,3.1,4998
PRD0330,Bhalla-Chadha,Clothing,Jeans,206797.76,4.5,4695
PRD0331,Hegde and Sons,Electronics,Televisions,268421.48,3.7,876
PRD0332,"Bora, Doctor and Vyas",Books,Biography,272249.32,2.8,449
